Format Version,1.23,Take Name,cturtlebot,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2023-04-11 01.20.06.963 PM,Total Frames in Take,1056,Total Exported Frames,1056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081
,ID,"C3AE0","C3AE0","C3AE0","C3AF0","C3AF0","C3AF0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.468271,-0.003891,0.103598,0.440780,-0.000250,0.119649
1,0.033333,0.468273,-0.004165,0.103238,0.440919,-0.000336,0.119127
2,0.066667,0.468552,-0.004451,0.102880,0.441284,-0.000322,0.118753
3,0.100000,0.468879,-0.004591,0.102538,0.441661,0.000024,0.118211
4,0.133333,0.469106,-0.004683,0.102383,0.441708,-0.000070,0.117791
5,0.166667,0.469278,-0.004663,0.102196,0.442002,0.000035,0.117566
6,0.200000,0.469250,-0.004628,0.102219,0.442230,0.000048,0.117845
7,0.233333,0.468998,-0.004603,0.102279,0.442019,0.000001,0.118062
8,0.266667,0.468837,-0.004537,0.102480,0.441759,-0.000182,0.118643
9,0.300000,0.468415,-0.004330,0.104408,0.440809,0.000005,0.120523
10,0.333333,0.467517,-0.002393,0.105421,0.438510,0.003788,0.119677
11,0.366667,0.466852,-0.000787,0.106125,0.438938,0.004967,0.121015
12,0.400000,0.465763,-0.003826,0.105874,0.438438,-0.000048,0.121330
13,0.433333,0.466488,-0.003199,0.107001,0.439100,0.000742,0.122283
14,0.466667,0.466300,-0.002941,0.108131,0.438775,0.000755,0.123618
15,0.500000,0.466482,-0.003134,0.108073,0.438982,0.000808,0.123634
16,0.533333,0.466276,-0.002900,0.109518,0.438699,0.000965,0.125105
17,0.566667,0.465376,-0.002718,0.111264,0.437773,0.000798,0.126865
18,0.600000,0.465649,-0.002789,0.111917,0.437872,0.001022,0.127368
19,0.633333,0.465457,-0.002953,0.112117,0.437748,0.000889,0.127513
20,0.666667,0.465558,-0.002897,0.112727,0.437896,0.001008,0.128267
21,0.700000,0.465633,-0.002838,0.114755,0.437972,0.001139,0.130264
22,0.733333,0.465683,-0.003029,0.117593,0.437882,0.000775,0.132929
23,0.766667,0.466084,-0.003498,0.119187,0.438199,0.000483,0.134598
24,0.800000,0.465960,-0.003323,0.119580,0.438142,0.000440,0.134993
25,0.833333,0.466128,-0.003412,0.119611,0.438315,0.000562,0.135105
26,0.866667,0.466099,-0.003457,0.119431,0.438305,0.000503,0.134885
27,0.900000,0.466078,-0.003371,0.119613,0.438269,0.000536,0.135083
28,0.933333,0.466111,-0.003426,0.119538,0.438284,0.000523,0.135004
29,0.966667,0.466100,-0.003465,0.119502,0.438306,0.000510,0.134962
30,1.000000,0.466096,-0.003364,0.119597,0.438286,0.000584,0.135069
31,1.033333,0.466076,-0.003450,0.119512,0.438269,0.000500,0.134977
32,1.066667,0.466082,-0.003423,0.119552,0.438290,0.000548,0.135029
33,1.100000,0.466091,-0.003387,0.119553,0.438286,0.000567,0.135033
34,1.133333,0.466033,-0.003448,0.119528,0.438262,0.000494,0.134978
35,1.166667,0.466036,-0.003386,0.119595,0.438245,0.000545,0.135050
36,1.200000,0.465953,-0.003346,0.119574,0.438200,0.000494,0.134974
37,1.233333,0.465964,-0.003676,0.119183,0.438206,0.000398,0.134423
38,1.266667,0.465863,-0.003715,0.118808,0.438165,0.000389,0.133988
39,1.300000,0.466051,-0.003782,0.117752,0.438459,0.000316,0.132904
40,1.333333,0.466406,-0.003738,0.116479,0.439006,0.000470,0.131722
41,1.366667,0.466827,-0.003641,0.115439,0.439556,0.000440,0.130785
42,1.400000,0.466760,-0.003646,0.114970,0.439660,0.000438,0.130296
43,1.433333,0.466885,-0.003657,0.114557,0.439954,0.000431,0.129877
44,1.466667,0.466901,-0.003741,0.114165,0.440062,0.000343,0.129505
45,1.500000,0.466905,-0.003563,0.114214,0.440074,0.000416,0.129622
46,1.533333,0.466890,-0.003687,0.114226,0.440051,0.000355,0.129604
47,1.566667,0.466919,-0.003650,0.114251,0.440073,0.000435,0.129642
48,1.600000,0.466921,-0.003658,0.114277,0.440069,0.000431,0.129674
49,1.633333,0.466934,-0.003637,0.114273,0.440075,0.000436,0.129679
50,1.666667,0.466924,-0.003640,0.114277,0.440058,0.000428,0.129689
51,1.700000,0.466937,-0.003626,0.114287,0.440062,0.000443,0.129702
52,1.733333,0.466957,-0.003629,0.114302,0.440072,0.000448,0.129719
53,1.766667,0.466943,-0.003643,0.114306,0.440060,0.000440,0.129724
54,1.800000,0.466931,-0.003622,0.114299,0.440050,0.000447,0.129722
55,1.833333,0.466928,-0.003605,0.114337,0.440055,0.000448,0.129743
56,1.866667,0.466948,-0.003622,0.114325,0.440059,0.000452,0.129746
57,1.900000,0.466935,-0.003629,0.114310,0.440051,0.000447,0.129739
58,1.933333,0.466927,-0.003597,0.114337,0.440056,0.000454,0.129749
59,1.966667,0.466952,-0.003617,0.114332,0.440059,0.000455,0.129761
60,2.000000,0.467089,-0.003602,0.114436,0.440094,0.000521,0.129941
61,2.033333,0.467527,-0.003258,0.115048,0.440116,0.000711,0.130774
62,2.066667,0.467477,-0.003019,0.115880,0.439974,0.000850,0.131702
63,2.100000,0.467227,-0.003290,0.116647,0.439713,0.000604,0.132421
64,2.133333,0.466851,-0.003090,0.117738,0.439338,0.000725,0.133492
65,2.166667,0.466704,-0.002912,0.118865,0.439174,0.000885,0.134626
66,2.200000,0.466626,-0.002964,0.119896,0.439080,0.000808,0.135635
67,2.233333,0.466715,-0.003131,0.120897,0.439196,0.000854,0.136685
68,2.266667,0.466840,-0.003100,0.122647,0.439301,0.000839,0.138413
69,2.300000,0.467039,-0.003154,0.124383,0.439440,0.000699,0.140152
70,2.333333,0.467116,-0.003372,0.125114,0.439547,0.000472,0.140887
71,2.366667,0.467148,-0.003399,0.125120,0.439578,0.000473,0.140879
72,2.400000,0.467165,-0.003382,0.125188,0.439616,0.000510,0.140981
73,2.433333,0.467192,-0.003422,0.125133,0.439647,0.000513,0.140911
74,2.466667,0.467182,-0.003401,0.125171,0.439631,0.000518,0.140952
75,2.500000,0.467194,-0.003406,0.125205,0.439646,0.000512,0.140986
76,2.533333,0.467206,-0.003440,0.125184,0.439652,0.000493,0.140962
77,2.566667,0.467207,-0.003415,0.125208,0.439661,0.000529,0.140988
78,2.600000,0.467190,-0.003423,0.125243,0.439641,0.000507,0.141028
79,2.633333,0.467201,-0.003431,0.125234,0.439653,0.000517,0.141023
80,2.666667,0.467203,-0.003426,0.125258,0.439653,0.000514,0.141041
81,2.700000,0.467198,-0.003421,0.125266,0.439652,0.000527,0.141050
82,2.733333,0.467205,-0.003440,0.125271,0.439655,0.000515,0.141060
83,2.766667,0.467114,-0.003368,0.125337,0.439684,0.000506,0.141024
84,2.800000,0.467066,-0.003621,0.124816,0.439645,0.000422,0.140327
85,2.833333,0.467098,-0.003707,0.124270,0.439711,0.000359,0.139773
86,2.866667,0.467251,-0.003739,0.123350,0.439926,0.000380,0.138855
87,2.900000,0.467547,-0.003736,0.122092,0.440385,0.000458,0.137629
88,2.933333,0.467836,-0.003628,0.121316,0.440818,0.000404,0.136948
89,2.966667,0.467748,-0.003681,0.120875,0.440882,0.000389,0.136462
90,3.000000,0.467756,-0.003686,0.120506,0.441056,0.000473,0.136040
91,3.033333,0.467776,-0.003695,0.120293,0.441084,0.000393,0.135838
92,3.066667,0.467849,-0.003631,0.120417,0.441134,0.000493,0.135994
93,3.100000,0.467802,-0.003673,0.120333,0.441113,0.000448,0.135920
94,3.133333,0.467896,-0.003613,0.120438,0.441151,0.000521,0.136042
95,3.166667,0.467852,-0.003646,0.120369,0.441122,0.000462,0.135969
96,3.200000,0.467913,-0.003616,0.120458,0.441153,0.000518,0.136059
97,3.233333,0.467865,-0.003634,0.120386,0.441124,0.000483,0.135992
98,3.266667,0.467926,-0.003617,0.120443,0.441161,0.000531,0.136051
99,3.300000,0.467904,-0.003630,0.120397,0.441141,0.000493,0.136008
100,3.333333,0.467940,-0.003599,0.120448,0.441161,0.000528,0.136067
101,3.366667,0.467908,-0.003617,0.120416,0.441139,0.000507,0.136029
102,3.400000,0.467926,-0.003607,0.120442,0.441150,0.000531,0.136063
103,3.433333,0.467904,-0.003618,0.120407,0.441132,0.000512,0.136026
104,3.466667,0.467928,-0.003598,0.120439,0.441148,0.000535,0.136060
105,3.500000,0.467894,-0.003609,0.120425,0.441123,0.000516,0.136052
106,3.533333,0.467940,-0.003606,0.120462,0.441167,0.000562,0.136125
107,3.566667,0.468267,-0.003421,0.120812,0.441216,0.000606,0.136657
108,3.600000,0.468416,-0.003141,0.121434,0.441254,0.000917,0.137498
109,3.633333,0.468181,-0.003228,0.122352,0.440981,0.000653,0.138444
110,3.666667,0.467903,-0.003146,0.123285,0.440584,0.000743,0.139267
111,3.700000,0.467681,-0.003075,0.124294,0.440370,0.000783,0.140323
112,3.733333,0.467437,-0.002997,0.125295,0.440085,0.000757,0.141256
113,3.766667,0.467601,-0.002998,0.126073,0.440240,0.000875,0.142035
114,3.800000,0.467651,-0.003107,0.127520,0.440270,0.000877,0.143452
115,3.833333,0.467845,-0.003168,0.129339,0.440409,0.000709,0.145329
116,3.866667,0.468107,-0.003277,0.130837,0.440666,0.000573,0.146810
117,3.900000,0.468090,-0.003357,0.131352,0.440650,0.000548,0.147331
118,3.933333,0.468160,-0.003366,0.131330,0.440745,0.000585,0.147306
119,3.966667,0.468129,-0.003393,0.131302,0.440706,0.000556,0.147278
120,4.000000,0.468140,-0.003384,0.131336,0.440736,0.000605,0.147320
121,4.033333,0.468123,-0.003384,0.131359,0.440709,0.000576,0.147342
122,4.066667,0.468141,-0.003409,0.131348,0.440729,0.000588,0.147344
123,4.100000,0.468113,-0.003383,0.131406,0.440698,0.000595,0.147392
124,4.133333,0.468144,-0.003404,0.131379,0.440738,0.000593,0.147371
125,4.166667,0.468154,-0.003409,0.131398,0.440743,0.000591,0.147388
126,4.200000,0.468129,-0.003384,0.131422,0.440726,0.000602,0.147425
127,4.233333,0.468141,-0.003406,0.131415,0.440737,0.000599,0.147408
128,4.266667,0.468149,-0.003412,0.131422,0.440750,0.000598,0.147423
129,4.300000,0.468132,-0.003396,0.131452,0.440717,0.000595,0.147456
130,4.333333,0.468079,-0.003497,0.131257,0.440734,0.000433,0.147111
131,4.366667,0.467906,-0.003726,0.130724,0.440588,0.000309,0.146473
132,4.400000,0.468185,-0.003783,0.129905,0.440880,0.000307,0.145651
133,4.433333,0.468361,-0.003749,0.128679,0.441207,0.000439,0.144465
134,4.466667,0.468662,-0.003676,0.127843,0.441622,0.000487,0.143600
135,4.500000,0.468585,-0.003659,0.127231,0.441767,0.000365,0.143054
136,4.533333,0.468656,-0.003721,0.126886,0.441940,0.000391,0.142707
137,4.566667,0.468599,-0.003745,0.126513,0.442026,0.000468,0.142212
138,4.600000,0.468673,-0.003712,0.126529,0.442076,0.000496,0.142266
139,4.633333,0.468712,-0.003693,0.126512,0.442086,0.000512,0.142291
140,4.666667,0.468709,-0.003687,0.126541,0.442099,0.000542,0.142312
141,4.700000,0.468726,-0.003681,0.126544,0.442073,0.000462,0.142377
142,4.733333,0.468724,-0.003677,0.126555,0.442066,0.000468,0.142389
143,4.766667,0.468736,-0.003660,0.126556,0.442071,0.000480,0.142399
144,4.800000,0.468748,-0.003675,0.126561,0.442071,0.000471,0.142401
145,4.833333,0.468747,-0.003675,0.126573,0.442069,0.000474,0.142419
146,4.866667,0.468728,-0.003659,0.126578,0.442068,0.000479,0.142411
147,4.900000,0.468759,-0.003655,0.126578,0.442074,0.000485,0.142427
148,4.933333,0.468733,-0.003676,0.126589,0.442064,0.000468,0.142424
149,4.966667,0.468764,-0.003652,0.126577,0.442068,0.000477,0.142435
150,5.000000,0.468762,-0.003651,0.126575,0.442072,0.000485,0.142429
151,5.033333,0.468761,-0.003665,0.126587,0.442087,0.000442,0.142459
152,5.066667,0.468765,-0.003657,0.126586,0.442087,0.000453,0.142459
153,5.100000,0.468808,-0.003646,0.126586,0.442123,0.000482,0.142491
154,5.133333,0.469253,-0.003328,0.127169,0.442202,0.000705,0.143296
155,5.166667,0.469336,-0.003043,0.127877,0.442171,0.000862,0.144192
156,5.200000,0.469058,-0.003336,0.128638,0.441917,0.000699,0.144858
157,5.233333,0.468772,-0.003148,0.129826,0.441514,0.000718,0.146018
158,5.266667,0.468620,-0.002980,0.130905,0.441383,0.000865,0.147180
159,5.300000,0.468321,-0.003004,0.131914,0.441059,0.000716,0.148071
160,5.333333,0.468541,-0.003147,0.132725,0.441315,0.000944,0.148902
161,5.366667,0.468572,-0.003067,0.134627,0.441341,0.000877,0.150779
162,5.400000,0.468991,-0.003092,0.136536,0.441676,0.000669,0.152719
163,5.433333,0.469122,-0.003369,0.137555,0.441801,0.000523,0.153669
164,5.466667,0.469155,-0.003374,0.137636,0.441829,0.000526,0.153755
165,5.500000,0.469211,-0.003342,0.137694,0.441926,0.000635,0.153878
166,5.533333,0.469186,-0.003370,0.137639,0.441889,0.000573,0.153788
167,5.566667,0.469203,-0.003373,0.137668,0.441914,0.000615,0.153830
168,5.600000,0.469208,-0.003364,0.137695,0.441916,0.000611,0.153856
169,5.633333,0.469201,-0.003381,0.137663,0.441916,0.000609,0.153821
170,5.666667,0.469207,-0.003367,0.137692,0.441925,0.000628,0.153861
171,5.700000,0.469202,-0.003382,0.137696,0.441920,0.000612,0.153859
172,5.733333,0.469211,-0.003388,0.137686,0.441929,0.000611,0.153845
173,5.766667,0.469206,-0.003368,0.137707,0.441922,0.000618,0.153871
174,5.800000,0.469207,-0.003394,0.137701,0.441927,0.000601,0.153869
175,5.833333,0.469210,-0.003377,0.137707,0.441925,0.000616,0.153877
176,5.866667,0.469152,-0.003323,0.137743,0.441937,0.000598,0.153865
177,5.900000,0.469103,-0.003618,0.137344,0.441845,0.000369,0.153269
178,5.933333,0.469049,-0.003800,0.136908,0.441866,0.000318,0.152795
179,5.966667,0.469254,-0.003742,0.135811,0.442111,0.000306,0.151679
180,6.000000,0.469518,-0.003701,0.134606,0.442528,0.000438,0.150562
181,6.033333,0.469761,-0.003696,0.133836,0.442909,0.000389,0.149808
182,6.066667,0.469634,-0.003659,0.133245,0.443001,0.000388,0.149233
183,6.100000,0.469746,-0.003777,0.132976,0.443203,0.000410,0.148911
184,6.133333,0.469658,-0.003751,0.132667,0.443208,0.000382,0.148631
185,6.166667,0.469732,-0.003658,0.132809,0.443249,0.000435,0.148807
186,6.200000,0.469709,-0.003697,0.132742,0.443212,0.000408,0.148746
187,6.233333,0.469830,-0.003667,0.132845,0.443257,0.000448,0.148853
188,6.266667,0.469770,-0.003767,0.132821,0.443222,0.000423,0.148799
189,6.300000,0.469845,-0.003643,0.132849,0.443262,0.000457,0.148873
190,6.333333,0.469783,-0.003760,0.132848,0.443222,0.000414,0.148836
191,6.366667,0.469844,-0.003653,0.132860,0.443259,0.000443,0.148889
192,6.400000,0.469800,-0.003737,0.132858,0.443234,0.000427,0.148852
193,6.433333,0.469853,-0.003654,0.132862,0.443257,0.000443,0.148895
194,6.466667,0.469801,-0.003741,0.132872,0.443232,0.000421,0.148869
195,6.500000,0.469857,-0.003642,0.132861,0.443256,0.000451,0.148891
196,6.533333,0.469816,-0.003740,0.132880,0.443240,0.000431,0.148875
197,6.566667,0.469854,-0.003648,0.132867,0.443248,0.000441,0.148903
198,6.600000,0.469847,-0.003656,0.132843,0.443240,0.000435,0.148886
199,6.633333,0.469866,-0.003638,0.132857,0.443250,0.000449,0.148910
200,6.666667,0.470082,-0.003565,0.133038,0.443295,0.000551,0.149216
201,6.700000,0.470338,-0.003040,0.133812,0.443383,0.000854,0.150267
202,6.733333,0.470121,-0.003128,0.134599,0.443126,0.000761,0.151005
203,6.766667,0.470043,-0.003284,0.135337,0.442932,0.000633,0.151690
204,6.800000,0.469730,-0.003069,0.136419,0.442608,0.000661,0.152842
205,6.833333,0.469411,-0.003033,0.137663,0.442205,0.000829,0.153929
206,6.866667,0.469447,-0.003059,0.138614,0.442211,0.000772,0.154851
207,6.900000,0.469601,-0.003057,0.139681,0.442390,0.000802,0.156019
208,6.933333,0.469713,-0.003152,0.141539,0.442546,0.000736,0.157851
209,6.966667,0.470037,-0.003261,0.143066,0.442799,0.000642,0.159361
210,7.000000,0.470056,-0.003358,0.143682,0.442827,0.000437,0.160019
211,7.033333,0.470144,-0.003323,0.143744,0.442930,0.000527,0.160093
212,7.066667,0.470111,-0.003332,0.143752,0.442915,0.000520,0.160130
213,7.100000,0.470126,-0.003374,0.143705,0.442949,0.000518,0.160076
214,7.133333,0.470124,-0.003323,0.143779,0.442927,0.000521,0.160150
215,7.166667,0.470142,-0.003368,0.143748,0.442954,0.000518,0.160122
216,7.200000,0.470128,-0.003357,0.143768,0.442931,0.000515,0.160136
217,7.233333,0.470137,-0.003351,0.143788,0.442963,0.000557,0.160174
218,7.266667,0.470145,-0.003360,0.143773,0.442951,0.000512,0.160153
219,7.300000,0.470136,-0.003360,0.143794,0.442968,0.000560,0.160181
220,7.333333,0.470130,-0.003353,0.143809,0.442957,0.000554,0.160196
221,7.366667,0.470147,-0.003367,0.143800,0.442971,0.000551,0.160193
222,7.400000,0.470144,-0.003361,0.143818,0.442971,0.000549,0.160211
223,7.433333,0.470022,-0.003298,0.143862,0.442913,0.000474,0.160172
224,7.466667,0.470002,-0.003689,0.143249,0.442848,0.000304,0.159354
225,7.500000,0.470146,-0.003828,0.142599,0.443009,0.000308,0.158643
226,7.533333,0.470317,-0.003754,0.141484,0.443298,0.000368,0.157550
227,7.566667,0.470587,-0.003733,0.140417,0.443760,0.000398,0.156517
228,7.600000,0.470591,-0.003666,0.139834,0.443923,0.000351,0.155979
229,7.633333,0.470618,-0.003661,0.139350,0.444052,0.000321,0.155534
230,7.666667,0.470647,-0.003732,0.138976,0.444205,0.000404,0.155033
231,7.700000,0.470681,-0.003717,0.138864,0.444245,0.000404,0.154963
232,7.733333,0.470715,-0.003680,0.138935,0.444271,0.000431,0.155055
233,7.766667,0.470704,-0.003691,0.138907,0.444271,0.000439,0.155037
234,7.800000,0.470740,-0.003665,0.138961,0.444290,0.000452,0.155110
235,7.833333,0.470721,-0.003680,0.138936,0.444261,0.000440,0.155086
236,7.866667,0.470753,-0.003651,0.138976,0.444281,0.000460,0.155128
237,7.900000,0.470744,-0.003669,0.138954,0.444269,0.000446,0.155105
238,7.933333,0.470760,-0.003652,0.138982,0.444275,0.000460,0.155141
239,7.966667,0.470754,-0.003657,0.138964,0.444271,0.000452,0.155124
240,8.000000,0.470771,-0.003645,0.138983,0.444285,0.000466,0.155147
241,8.033333,0.470755,-0.003663,0.138975,0.444269,0.000447,0.155138
242,8.066667,0.470769,-0.003641,0.138989,0.444278,0.000467,0.155155
243,8.100000,0.470768,-0.003644,0.138977,0.444274,0.000462,0.155145
244,8.133333,0.470776,-0.003647,0.138995,0.444276,0.000461,0.155164
245,8.166667,0.470770,-0.003643,0.138986,0.444273,0.000461,0.155152
246,8.200000,0.470789,-0.003641,0.138978,0.444288,0.000471,0.155176
247,8.233333,0.471142,-0.003337,0.139470,0.444356,0.000617,0.155945
248,8.266667,0.471275,-0.003182,0.140068,0.444406,0.000910,0.156668
249,8.300000,0.471057,-0.003286,0.140827,0.444141,0.000614,0.157459
250,8.333333,0.470816,-0.003155,0.142041,0.443813,0.000651,0.158591
251,8.366667,0.470642,-0.003142,0.143276,0.443597,0.000800,0.159794
252,8.400000,0.470204,-0.003121,0.144382,0.443115,0.000641,0.160781
253,8.433333,0.470524,-0.003133,0.145203,0.443469,0.000823,0.161700
254,8.466667,0.470529,-0.003076,0.146777,0.443467,0.000754,0.163329
255,8.500000,0.470890,-0.003222,0.148625,0.443721,0.000706,0.165061
256,8.533333,0.471057,-0.003294,0.149681,0.443940,0.000491,0.166211
257,8.566667,0.471049,-0.003428,0.149980,0.443983,0.000513,0.166501
258,8.600000,0.471084,-0.003427,0.149981,0.444042,0.000547,0.166500
259,8.633333,0.471070,-0.003463,0.149910,0.444009,0.000494,0.166411
260,8.666667,0.471080,-0.003433,0.149976,0.444033,0.000536,0.166501
